80	0.021999025	0.024571135	3.22009E-20	4.11549E-20
100	0.021546553	0.024570958	3.06282E-20	4.1155E-20
120	0.020572841	0.024107455	2.72417E-20	3.95418E-20
140	0.020151824	0.024107237	2.57837E-20	3.95419E-20
160	0.02086041	0.025089884	2.82738E-20	4.29638E-20
180	0.020421949	0.025089881	2.67765E-20	4.29638E-20
200	0.022634086	0.026635973	3.4598E-20	4.83512E-20
220	0.021613262	0.025956358	3.11248E-20	4.59902E-20
240	0.021135058	0.025173841	2.95466E-20	4.32741E-20
260	0.021875748	0.025149913	3.2131E-20	4.31986E-20
280	0.020375056	0.024860903	2.70977E-20	4.22018E-20
300	0.018972346	0.024833729	2.24304E-20	4.21212E-20
320	0.018104496	0.02542809	1.97679E-20	4.42149E-20
340	0.017154812	0.025014337	1.70363E-20	4.27978E-20
360	0.016438595	0.024711836	1.60011E-20	4.17767E-20
380	0.01553743	0.024121928	1.40283E-20	3.97589E-20
400	0.014143682	0.02359261	1.3322E-20	3.79628E-20
